Amor	24
Bella	16
David	12
Emily	11
Facebook	24
Grande	8
Hola	2
Jennifer	11
Jessica	1
Miss	18
Mujer	21
Trump	14
Twitter	1
abajo	2
abuela	25
aburrida	4
adolescente	21
adulto	10
agradable	19
agradecida	6
ahora	25
algo	9
allá	18
alta	25
alto	35
amable	21
amor	56
anciana	12
aquí	33
años	5
baja	20
barata	11
bebé	7
belleza	2
bien	10
blanco	23
bonita	12
bonito	5
buena	22
bueno	26
bullying	1
básica	24
calidad	13
cara	23
casa	8
chica	40
chicas	19
chico	20
clara	48
claro	12
comodidad	12
complicado	23
conocido	12
correcta	17
definición	24
demasiada	10
desnuda	14
diferente	62
difícil	58
diseño	20
divertida	19
divertido	33
dramática	13
dulce	25
dura	10
duro	21
débil	5
electrónico	14
elegancia	19
ella	20
embarazada	6
entretenida	1
entretenido	11
escasa	21
especial	9
esta	48
este	49
estilo	21
esto	17
estudiante	12
excesiva	9
exigente	14
feliz	41
feroz	4
forma	10
fuerte	66
fácil	47
física	8
generoso	3
genial	12
grande	78
gratificante	7
gratis	38
gratuita	9
género	25
hermosa	41
hola	27
hombre	11
https	3
humano	7
importante	17
indiferente	45
inocente	2
inteligente	5
interesante	17
invisible	39
joven	56
lejos	6
lesbiana	31
libre	18
madre	19
mamá	17
mayor	17
mujer	100
mujeres	14
mínima	2
necesaria	13
negro	6
niña	20
nombre	6
online	23
pequeña	85
pequeño	6
perfecta	19
pobre	22
poco	18
pocos	15
poderosa	7
popular	18
posible	17
positiva	14
precio	1
probable	13
puta	16
querido	7
real	36
realista	16
rechazada	2
recomendable	8
rico	1
rubia	8
rápido	2
salvaje	14
segura	26
seguridad	15
seguro	4
sencilla	38
sencillo	19
sexo	56
sexy	29
silenciosa	4
solo	16
suficiente	32
tecnología	3
todo	8
usted	2
verde	13
vieja	24
vulnerable	22
útil	15
