Adriana	15
Alejandra	1
Andrea	6
Bella	25
Carla	23
Carmen	14
Carolina	32
Claudia	29
Daniela	18
Dios	6
Falta	4
Irene	17
Laura	9
Linda	6
Lorena	2
Pilar	40
Raquel	8
Sandra	4
Sara	72
Silvia	16
Susana	30
Victoria	1
Virginia	4
abogada	68
abuela	19
actriz	20
adulta	9
afortunada	53
agradable	22
agradecida	7
algo	3
alumna	19
amable	88
amor	12
antigua	7
argentina	13
asesinada	10
atractiva	12
autodidacta	18
bella	35
bonita	19
buena	25
bueno	13
cercana	48
chica	23
completa	2
conocida	17
consciente	16
culpable	24
deliciosa	12
desconocida	14
diferente	9
divertida	16
docente	44
educada	6
elegante	2
ella	123
ello	7
encantadora	99
enferma	11
enfermera	58
entretenida	15
escritora	26
española	2
especial	19
esta	3
estudiante	31
estupenda	10
excelente	57
exitosa	3
experta	1
familiar	1
famosa	14
feliz	124
genial	26
grande	18
gratificante	18
gratuita	33
guapa	11
hermosa	105
heterosexual	1
hija	10
hombre	36
hombres	19
homosexual	5
humana	55
identificada	12
igual	9
importante	36
imprescindible	2
independiente	34
infiel	23
inocente	101
inteligente	55
interesante	24
investigadora	7
invisible	5
joven	68
lesbiana	16
licenciada	6
linda	6
loca	17
madre	104
maestra	79
maravillosa	103
maternidad	2
mayor	16
mejor	16
modelo	13
moderna	3
muerta	31
mujer	65
mujeres	15
natural	6
naturaleza	23
niña	1
nuestra	3
nueva	32
orgullosa	6
original	8
otra	29
otro	8
padre	3
pareja	14
pequeña	120
perfecta	59
periodista	11
persona	17
poderosa	21
popular	13
positiva	17
preciosa	114
profesional	20
profesora	49
prostituta	5
protagonista	23
psicóloga	21
querida	11
responsable	27
rica	1
segura	15
sensible	25
sexo	24
sexy	12
sincera	36
soltera	16
suya	82
tierna	8
tranquila	6
tuya	10
universitaria	30
valiente	4
vegetariana	17
verdad	1
